Division,MatchDate,HomeTeam,AwayTeam,FTHome,FTAway,FTResult,HomeElo,AwayElo,OddHome,OddDraw,OddAway
SP1,2022-08-12,Osasuna,Sevilla,2.0,1.0,H,1669.47,1826.56,3.28,3.08,2.43
SP1,2022-08-13,Celta,Espanol,2.0,2.0,D,1708.34,1647.61,1.83,3.68,4.5
SP1,2022-08-13,Valladolid,Villarreal,0.0,3.0,A,1646.44,1840.42,3.93,3.66,1.94
SP1,2022-08-13,Barcelona,Vallecano,0.0,0.0,D,1875.88,1616.94,1.21,6.79,14.2
SP1,2022-08-14,Cadiz,Sociedad,0.0,1.0,A,1650.63,1756.36,3.55,3.24,2.2
SP1,2022-08-14,Valencia,Girona,1.0,0.0,H,1698.47,1609.86,1.89,3.5,4.35
SP1,2022-08-14,Almeria,Real Madrid,1.0,2.0,A,1630.25,1983.04,7.17,4.91,1.42
SP1,2022-08-15,Ath Bilbao,Mallorca,0.0,0.0,D,1739.26,1615.09,1.6,3.83,6.23
SP1,2022-08-15,Getafe,Ath Madrid,0.0,3.0,A,1672.6,1868.53,4.79,3.19,1.92
SP1,2022-08-15,Betis,Elche,3.0,0.0,H,1778.93,1631.02,1.45,4.57,7.27
SP1,2022-08-19,Espanol,Vallecano,0.0,2.0,A,1650.83,1624.13,2.51,3.05,3.18
SP1,2022-08-19,Sevilla,Valladolid,1.0,1.0,D,1815.68,1638.47,1.53,4.17,6.71
SP1,2022-08-20,Osasuna,Cadiz,2.0,0.0,H,1680.35,1643.76,1.95,3.26,4.44
SP1,2022-08-20,Mallorca,Betis,1.0,2.0,A,1615.09,1778.93,3.1,3.26,2.42
SP1,2022-08-20,Celta,Real Madrid,1.0,4.0,A,1705.13,1985.08,4.71,4.19,1.68
SP1,2022-08-21,Ath Bilbao,Valencia,1.0,0.0,H,1739.26,1703.1,1.77,3.61,4.95
SP1,2022-08-21,Ath Madrid,Villarreal,0.0,2.0,A,1868.53,1848.39,1.93,3.52,4.14
SP1,2022-08-21,Sociedad,Barcelona,1.0,4.0,A,1763.23,1868.7,3.38,3.62,2.12
SP1,2022-08-22,Elche,Almeria,1.0,1.0,D,1631.02,1628.21,2.5,3.2,3.01
SP1,2022-08-22,Girona,Getafe,3.0,1.0,H,1605.23,1672.6,2.81,2.84,2.97
SP1,2022-08-26,Girona,Celta,0.0,1.0,A,1605.23,1705.13,2.77,3.15,2.75
SP1,2022-08-26,Betis,Osasuna,1.0,0.0,H,1778.93,1680.35,1.8,3.68,4.66
SP1,2022-08-27,Elche,Sociedad,0.0,1.0,A,1631.02,1763.23,3.64,3.16,2.21
SP1,2022-08-27,Vallecano,Mallorca,0.0,2.0,A,1624.13,1615.09,2.07,3.23,4.02
SP1,2022-08-27,Almeria,Sevilla,2.0,1.0,H,1628.21,1815.68,3.56,3.23,2.21
SP1,2022-08-28,Getafe,Villarreal,0.0,0.0,D,1672.6,1848.39,4.49,3.36,1.91
SP1,2022-08-28,Barcelona,Valladolid,4.0,0.0,H,1868.7,1638.47,1.15,8.47,17.97
SP1,2022-08-28,Espanol,Real Madrid,1.0,3.0,A,1650.83,1985.08,6.63,4.83,1.46
SP1,2022-08-29,Cadiz,Ath Bilbao,0.0,4.0,A,1643.76,1739.26,3.78,3.11,2.18
SP1,2022-08-29,Valencia,Ath Madrid,0.0,1.0,A,1703.1,1868.53,4.02,3.33,2.03
SP1,2022-09-02,Celta,Cadiz,3.0,0.0,H,1708.02,1622.56,1.67,3.65,5.93
SP1,2022-09-03,Mallorca,Girona,1.0,1.0,D,1629.56,1610.96,2.17,3.16,3.79
SP1,2022-09-03,Real Madrid,Betis,2.0,1.0,H,1993.74,1795.38,1.43,5.13,6.82
SP1,2022-09-03,Sociedad,Ath Madrid,1.0,1.0,D,1758.5,1868.45,2.96,3.17,2.58
SP1,2022-09-03,Sevilla,Barcelona,0.0,3.0,A,1799.17,1885.56,4.48,3.74,1.82
SP1,2022-09-04,Osasuna,Vallecano,2.0,1.0,H,1685.09,1625.02,2.06,3.13,4.23
SP1,2022-09-04,Ath Bilbao,Espanol,0.0,1.0,A,1754.96,1634.6,1.57,3.98,6.46
SP1,2022-09-04,Villarreal,Elche,4.0,0.0,H,1861.33,1618.39,1.35,5.08,9.56
SP1,2022-09-04,Valencia,Getafe,5.0,1.0,H,1692.72,1657.46,1.96,3.2,4.52
SP1,2022-09-05,Valladolid,Almeria,1.0,0.0,H,1640.46,1641.81,2.34,3.3,3.19
SP1,2022-09-09,Girona,Valladolid,2.0,1.0,H,1610.96,1640.46,2.27,3.2,3.46
SP1,2022-09-10,Vallecano,Valencia,2.0,1.0,H,1625.02,1692.72,2.6,3.17,2.9
SP1,2022-09-10,Espanol,Sevilla,2.0,3.0,A,1634.6,1799.17,2.93,3.24,2.54
SP1,2022-09-10,Cadiz,Barcelona,0.0,4.0,A,1622.56,1885.56,13.05,6.27,1.24
SP1,2022-09-10,Ath Madrid,Celta,4.0,1.0,H,1868.45,1708.02,1.65,3.81,5.76
SP1,2022-09-11,Real Madrid,Mallorca,4.0,1.0,H,1993.74,1629.56,1.27,6.11,10.84
SP1,2022-09-11,Elche,Ath Bilbao,1.0,4.0,A,1618.39,1754.96,4.15,3.47,1.95
SP1,2022-09-11,Getafe,Sociedad,2.0,1.0,H,1657.46,1758.5,3.77,3.07,2.2
SP1,2022-09-11,Betis,Villarreal,1.0,0.0,H,1795.38,1861.33,2.88,3.48,2.45
SP1,2022-09-12,Almeria,Osasuna,0.0,1.0,A,1641.81,1685.09,2.68,3.19,2.79
SP1,2022-09-16,Valladolid,Cadiz,0.0,1.0,A,1637.82,1606.62,2.04,3.22,4.13
SP1,2022-09-17,Mallorca,Almeria,1.0,0.0,H,1624.19,1625.28,2.05,3.32,3.94
SP1,2022-09-17,Barcelona,Elche,3.0,0.0,H,1897.93,1601.6,1.1,10.86,25.46
SP1,2022-09-17,Valencia,Celta,3.0,0.0,H,1694.14,1708.85,2.37,3.27,3.16
SP1,2022-09-17,Ath Bilbao,Vallecano,3.0,2.0,H,1751.58,1626.89,1.55,4.1,6.55
SP1,2022-09-18,Osasuna,Getafe,0.0,2.0,A,1696.92,1653.99,1.83,3.33,5.07
SP1,2022-09-18,Villarreal,Sevilla,1.0,1.0,D,1856.31,1778.67,1.72,3.84,4.99
SP1,2022-09-18,Betis,Girona,2.0,1.0,H,1800.9,1618.9,1.75,3.69,4.98
SP1,2022-09-18,Sociedad,Espanol,2.0,1.0,H,1759.32,1639.24,1.73,3.77,4.93
SP1,2022-09-18,Ath Madrid,Real Madrid,1.0,2.0,A,1861.79,2003.65,3.1,3.48,2.31
SP1,2022-09-30,Ath Bilbao,Almeria,4.0,0.0,H,1751.58,1625.28,1.37,4.96,8.83
SP1,2022-10-01,Cadiz,Villarreal,0.0,0.0,D,1618.47,1856.27,5.68,3.97,1.62
SP1,2022-10-01,Getafe,Valladolid,2.0,3.0,A,1670.85,1629.23,2.31,3.1,3.45
SP1,2022-10-01,Sevilla,Ath Madrid,0.0,2.0,A,1783.95,1857.67,3.05,3.19,2.49
SP1,2022-10-01,Mallorca,Barcelona,0.0,1.0,A,1632.61,1902.34,8.63,5.3,1.35
SP1,2022-10-02,Espanol,Valencia,2.0,2.0,D,1636.86,1708.06,2.72,3.26,2.7
SP1,2022-10-02,Celta,Betis,1.0,0.0,H,1698.19,1807.34,2.48,3.37,2.9
SP1,2022-10-02,Girona,Sociedad,3.0,5.0,A,1617.59,1766.32,3.26,3.24,2.32
SP1,2022-10-02,Real Madrid,Osasuna,1.0,1.0,D,2011.03,1683.31,1.33,5.48,9.22
SP1,2022-10-03,Vallecano,Elche,2.0,1.0,H,1624.47,1600.45,1.73,3.68,5.13
SP1,2022-10-07,Osasuna,Valencia,1.0,2.0,A,1683.31,1708.06,2.42,3.25,3.11
SP1,2022-10-08,Almeria,Vallecano,3.0,1.0,H,1612.71,1624.47,3.01,3.24,2.5
SP1,2022-10-08,Ath Madrid,Girona,2.0,1.0,H,1857.67,1617.59,1.49,4.4,7.0
SP1,2022-10-08,Sevilla,Ath Bilbao,1.0,1.0,D,1783.95,1764.65,3.04,3.3,2.44
SP1,2022-10-08,Getafe,Real Madrid,0.0,1.0,A,1670.85,2011.03,6.64,4.46,1.5
SP1,2022-10-09,Valladolid,Betis,0.0,0.0,D,1629.23,1807.34,2.88,3.42,2.48
SP1,2022-10-09,Cadiz,Espanol,2.0,2.0,D,1618.47,1636.86,2.93,3.1,2.64
SP1,2022-10-09,Sociedad,Villarreal,1.0,0.0,H,1766.32,1856.27,2.57,3.31,2.86
SP1,2022-10-09,Barcelona,Celta,1.0,0.0,H,1902.34,1698.19,1.29,5.91,10.72
SP1,2022-10-10,Elche,Mallorca,1.0,1.0,D,1600.45,1632.61,3.08,3.04,2.56
SP1,2022-10-14,Vallecano,Getafe,0.0,0.0,D,1624.47,1670.85,2.07,3.18,4.12
SP1,2022-10-15,Girona,Cadiz,1.0,1.0,D,1596.33,1611.12,1.91,3.32,4.58
SP1,2022-10-15,Valencia,Elche,2.0,2.0,D,1705.76,1582.87,1.41,4.85,7.89
SP1,2022-10-15,Mallorca,Sevilla,0.0,1.0,A,1618.98,1748.01,2.93,3.11,2.63
SP1,2022-10-15,Ath Bilbao,Ath Madrid,0.0,1.0,A,1755.03,1838.03,2.47,3.28,3.02
SP1,2022-10-16,Celta,Sociedad,1.0,2.0,A,1693.87,1779.84,2.58,3.25,2.88
SP1,2022-10-16,Real Madrid,Barcelona,3.0,1.0,H,1988.95,1884.97,2.28,3.64,3.05
SP1,2022-10-16,Espanol,Valladolid,1.0,0.0,H,1627.54,1632.09,2.2,3.36,3.42
SP1,2022-10-16,Betis,Almeria,3.0,1.0,H,1789.21,1611.83,1.58,4.22,5.77
